"asset_id","nome","campanha","pilar","etapa_funil","origem","formato","dimensoes","duracao","idioma","claim","caveat","status","versao","responsavel","direitos","arquivo_fonte","exports"
"AST-VID-001","Master Split View 30s 16:9","C01","Menos fricção","Topo","Filme A","video","1920x1080 ou 3840x2160","30s","pt-BR","C0/C1","Frames de UI em CONCEITO","BRIEF","0.1.0","A definir","Pendente: musica, voz","A definir","H.264 + master alta qualidade"
"AST-VID-002","Master Split View 30s 9:16","C01","Menos fricção","Topo","Filme A","video","1080x1920","30s","pt-BR","C0/C1","Split vira horizontal no recorte vertical","BRIEF","0.1.0","A definir","Pendente","A definir","H.264"
"AST-VID-003","Master Split View 30s 4:5","C01","Menos fricção","Topo","Filme A","video","1080x1350","30s","pt-BR","C0/C1","","BRIEF","0.1.0","A definir","Pendente","A definir","H.264"
"AST-VID-004","Master Split View 30s 1:1","C01","Menos fricção","Topo","Filme A","video","1080x1080","30s","pt-BR","C0/C1","","BRIEF","0.1.0","A definir","Pendente","A definir","H.264"
"AST-VID-005","Manifesto 60s 16:9","C01","Transparência","Topo","Filme B","video","1920x1080 ou 3840x2160","60s","pt-BR","C0/C1/C2","Bloco 7 exige formulacao aprovada de evidencias","BRIEF","0.1.0","A definir","Pendente: musica, voz, imagem de terceiros","A definir","H.264 + master"
"AST-VID-006","Manifesto 60s 9:16","C01","Transparência","Topo","Filme B","video","1080x1920","60s","pt-BR","C0/C1/C2","Legenda obrigatoria: blocos 1, 2 e 6 dependem de locucao","BRIEF","0.1.0","A definir","Pendente","A definir","H.264"
"AST-VID-007","Demo 45s 16:9","C01","Clareza","Meio","Filme C","video","1920x1080 ou 3840x2160","45s","pt-BR","C1/C2/C3","Toda UI em CONCEITO ate inspecao do Turborepo","BRIEF","0.1.0","A definir","Pendente","A definir","H.264 + master"
"AST-VID-008","Demo 45s 9:16","C01","Clareza","Meio","Filme C","video","1080x1920","45s","pt-BR","C1/C2/C3","Idem","BRIEF","0.1.0","A definir","Pendente","A definir","H.264"
"AST-VID-009","Demo 45s 4:5","C01","Clareza","Meio","Filme C","video","1080x1350","45s","pt-BR","C1/C2/C3","Idem","BRIEF","0.1.0","A definir","Pendente","A definir","H.264"
"AST-CUT-001","Cutdown 6s","C01","Menos fricção","Topo","D-06","video","1080x1920 e 1080x1080","6s","pt-BR","C0","Sem UI legivel","BRIEF","0.1.0","A definir","Pendente","A definir","H.264"
"AST-CUT-002","Cutdown 15s Split","C01","Menos fricção","Topo","D-15S","video","1080x1920, 1080x1350, 1080x1080","15s","pt-BR","C0","","BRIEF","0.1.0","A definir","Pendente","A definir","H.264"
"AST-CUT-003","Cutdown 15s Demo","C01","Clareza","Meio","D-15D","video","1080x1920, 1080x1350, 1080x1080","15s","pt-BR","C1","Herda caveats de C-B2 e C-B4","BRIEF","0.1.0","A definir","Pendente","A definir","H.264"
"AST-LOOP-001","Hero loop timer","C01","Menos fricção","Topo","L-TIMER","video sem audio","1600x900","3-8s","n/a","C0","Numero nunca apresentado como medicao","BRIEF","0.1.0","A definir","Proprio","A definir","MP4 + WebM"
"AST-LOOP-002","Hero loop proxima acao","C01","Clareza","Topo","L-PROX","video sem audio","1600x900","3-8s","pt-BR","C1","UI em CONCEITO","BRIEF","0.1.0","A definir","Proprio","A definir","MP4 + WebM"
"AST-LOOP-003","Hero loop retomada","C01","Contexto","Topo","L-RETOM","video sem audio","1600x900","3-8s","pt-BR","C1","UI em CONCEITO","BRIEF","0.1.0","A definir","Proprio","A definir","MP4 + WebM"
"AST-LOOP-004","Hero loop decomposicao","C01","Clareza","Topo","L-DECOMP","video sem audio","1600x900","3-8s","pt-BR","C1","UI em CONCEITO","BRIEF","0.1.0","A definir","Proprio","A definir","MP4 + WebM"
"AST-STL-001","Key visual Split View","C01","Menos fricção","Topo","Filme A bloco 1","still","3840x2160","n/a","pt-BR","C0","","BRIEF","0.1.0","A definir","Proprio","A definir","PNG + JPG"
"AST-STL-002","Hero web","C01","Menos fricção","Topo","Filme A bloco 6","still","2880x1620","n/a","pt-BR","C0","","BRIEF","0.1.0","A definir","Proprio","A definir","PNG + WebP"
"AST-STL-003","Still hierarquia do trabalho","C01","Clareza","Meio","B-B3","still","2400x1350","n/a","pt-BR","C1","UI em CONCEITO","BRIEF","0.1.0","A definir","Proprio","A definir","PNG"
