reconciliation_id,classification_id,source_path,candidate_domain,candidate_canonical_id,candidate_target,canonical_authority,decision,conflict_status,precondition,next_step
"GOV-REC-001","MC-REC-001","01-master-index/01-master-index.md","REGISTRY","GOV-IDX-030-001","01_master-index/","GOV-IDX-030-001","REFERENCE_UNTIL_CANONICAL_REVIEW","REQUIRES_RECONCILIATION","Preservar IDs e distinguir índices observados de autoridade aprovada.","Reconciliar no master index, sem criar segundo canonical_home."
"GOV-REC-002","MC-REC-002","01-master-index/01-schemas/ECOSYSTEM_MASTER_YAML_CARDS_V1.yaml","REGISTRY","GOV-IDX-030-001","01_master-index/schemas/","GOV-IDX-030-001","REFERENCE_UNTIL_CANONICAL_REVIEW","REQUIRES_RECONCILIATION","Preservar IDs e distinguir índices observados de autoridade aprovada.","Reconciliar no master index, sem criar segundo canonical_home."
"GOV-REC-003","MC-REC-003","01-master-index/01-schemas/EXECUTAR_projetosaasentrypoint_EXPANDIDO.schema.json","BLUEPRINTS","GAP","BLUEPRINTS/60-contracts/","BLUEPRINTS","REFERENCE_TO_BLUEPRINTS","CROSS_REPO_BOUNDARY","Não publicar conteúdo privado em destino público.","Aguardar decisão de visibilidade e PR de transferência."
"GOV-REC-004","MC-REC-004","01-master-index/01-schemas/FORMULARIO_FUNDACIONAL_FUSIONADO_V1.yaml","REGISTRY","GOV-IDX-030-001","01_master-index/schemas/","GOV-IDX-030-001","REFERENCE_UNTIL_CANONICAL_REVIEW","MULTI_DOMAIN","Preservar IDs e distinguir índices observados de autoridade aprovada.","Reconciliar no master index, sem criar segundo canonical_home."
"GOV-REC-005","MC-REC-005","01-master-index/01-schemas/README.md","REGISTRY","GOV-IDX-030-001","01_master-index/schemas/","GOV-IDX-030-001","REFERENCE_UNTIL_CANONICAL_REVIEW","REQUIRES_RECONCILIATION","Preservar IDs e distinguir índices observados de autoridade aprovada.","Reconciliar no master index, sem criar segundo canonical_home."
"GOV-REC-006","MC-REC-006","01-master-index/02-taxonomies/ECOSYSTEM_CARDS_REGISTER.csv","REGISTRY","GOV-IDX-030-001","01_master-index/taxonomies/","GOV-IDX-030-001","REFERENCE_UNTIL_CANONICAL_REVIEW","REQUIRES_RECONCILIATION","Preservar IDs e distinguir índices observados de autoridade aprovada.","Reconciliar no master index, sem criar segundo canonical_home."
"GOV-REC-007","MC-REC-007","01-master-index/02-taxonomies/FOLDER_IDS.md","D06","D06-DOC-RMI-001","02_areas/D06__conhecimento-e-busca-corporativa/00_documentos/","D06-DOC-RMI-001","REFERENCE_UNTIL_CANONICAL_REVIEW","REQUIRES_RECONCILIATION","Comparar IDs, hashes, paths e RMOC antes de qualquer merge.","Gerar matriz de equivalência RMI/RMOC."
"GOV-REC-008","MC-REC-008","01-master-index/02-taxonomies/MAPA_DOC_ARQUIVO.csv","D06","D06-DOC-RMI-001","02_areas/D06__conhecimento-e-busca-corporativa/00_documentos/","D06-DOC-RMI-001","REFERENCE_UNTIL_CANONICAL_REVIEW","REQUIRES_RECONCILIATION","Comparar IDs, hashes, paths e RMOC antes de qualquer merge.","Gerar matriz de equivalência RMI/RMOC."
"GOV-REC-009","MC-REC-009","01-master-index/02-taxonomies/MOC_IDS.csv","D06","D06-DOC-RMI-001","02_areas/D06__conhecimento-e-busca-corporativa/00_documentos/","D06-DOC-RMI-001","REFERENCE_UNTIL_CANONICAL_REVIEW","REQUIRES_RECONCILIATION","Comparar IDs, hashes, paths e RMOC antes de qualquer merge.","Gerar matriz de equivalência RMI/RMOC."
"GOV-REC-010","MC-REC-010","01-master-index/02-taxonomies/ROTEAMENTO_DOCUMENTAL_MECE.csv","REGISTRY","GOV-IDX-030-001","01_master-index/","GOV-IDX-030-001","REFERENCE_UNTIL_CANONICAL_REVIEW","REQUIRES_RECONCILIATION","Preservar IDs e distinguir índices observados de autoridade aprovada.","Reconciliar no master index, sem criar segundo canonical_home."
"GOV-REC-011","MC-REC-011","01-master-index/02-taxonomies/SAAS_ENTRYPOINT_DOMAIN_MAP.csv","BLUEPRINTS","GAP","BLUEPRINTS/95-target-mapping/","BLUEPRINTS","REFERENCE_TO_BLUEPRINTS","CROSS_REPO_BOUNDARY","Não publicar conteúdo privado em destino público.","Aguardar decisão de visibilidade e PR de transferência."
"GOV-REC-012","MC-REC-012","01-master-index/03-relations/RELATIONS.md","REGISTRY","GOV-IDX-030-001","01_master-index/","GOV-IDX-030-001","REFERENCE_UNTIL_CANONICAL_REVIEW","REQUIRES_RECONCILIATION","Preservar IDs e distinguir índices observados de autoridade aprovada.","Reconciliar no master index, sem criar segundo canonical_home."
"GOV-REC-013","MC-REC-013","01-master-index/04-reports/2026-09-07-master-index-repos-codigo.md","REGISTRY","GOV-IDX-030-001","01_master-index/reports/","GOV-IDX-030-001","REFERENCE_UNTIL_CANONICAL_REVIEW","REQUIRES_RECONCILIATION","Preservar IDs e distinguir índices observados de autoridade aprovada.","Reconciliar no master index, sem criar segundo canonical_home."
"GOV-REC-014","MC-REC-014","01-master-index/04-reports/INDICE_TEMATICO_GRANULAR_V1.csv","REGISTRY","GOV-IDX-030-001","01_master-index/reports/","GOV-IDX-030-001","REFERENCE_UNTIL_CANONICAL_REVIEW","REQUIRES_RECONCILIATION","Preservar IDs e distinguir índices observados de autoridade aprovada.","Reconciliar no master index, sem criar segundo canonical_home."
"GOV-REC-015","MC-REC-015","01-master-index/04-reports/MASTER_INDEX_TABULAR_V1.csv","D06","D06-DOC-RMI-001","02_areas/D06__conhecimento-e-busca-corporativa/00_documentos/","D06-DOC-RMI-001","REFERENCE_UNTIL_CANONICAL_REVIEW","REQUIRES_RECONCILIATION","Comparar IDs, hashes, paths e RMOC antes de qualquer merge.","Gerar matriz de equivalência RMI/RMOC."
"GOV-REC-016","MC-REC-016","01-master-index/04-reports/MIGRATION_2026-08-26.md","REGISTRY","GOV-IDX-030-001","99_archive/migration-history/","GOV-IDX-030-001","REFERENCE_UNTIL_CANONICAL_REVIEW","REQUIRES_RECONCILIATION","Preservar IDs e distinguir índices observados de autoridade aprovada.","Reconciliar no master index, sem criar segundo canonical_home."
