queue_id,classification_id,source_path,intake_path,candidate_domain,candidate_canonical_id,candidate_target,distribution_status,precondition,next_step
"MQ-REC-001","MC-REC-001","01-master-index/01-master-index.md","00_input/maestro-migration/01_original/01-master-index/01-master-index.md","REGISTRY","GOV-IDX-030-001","01_master-index/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
"MQ-REC-002","MC-REC-002","01-master-index/01-schemas/ECOSYSTEM_MASTER_YAML_CARDS_V1.yaml","00_input/maestro-migration/01_original/01-master-index/01-schemas/ECOSYSTEM_MASTER_YAML_CARDS_V1.yaml","REGISTRY","GOV-IDX-030-001","01_master-index/schemas/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
"MQ-REC-003","MC-REC-003","01-master-index/01-schemas/EXECUTAR_projetosaasentrypoint_EXPANDIDO.schema.json","00_input/maestro-migration/01_original/01-master-index/01-schemas/EXECUTAR_projetosaasentrypoint_EXPANDIDO.schema.json","BLUEPRINTS","GAP","BLUEPRINTS/60-contracts/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
"MQ-REC-004","MC-REC-004","01-master-index/01-schemas/FORMULARIO_FUNDACIONAL_FUSIONADO_V1.yaml","00_input/maestro-migration/01_original/01-master-index/01-schemas/FORMULARIO_FUNDACIONAL_FUSIONADO_V1.yaml","REGISTRY","GOV-IDX-030-001","01_master-index/schemas/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
"MQ-REC-005","MC-REC-005","01-master-index/01-schemas/README.md","00_input/maestro-migration/01_original/01-master-index/01-schemas/README.md","REGISTRY","GOV-IDX-030-001","01_master-index/schemas/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
"MQ-REC-006","MC-REC-006","01-master-index/02-taxonomies/ECOSYSTEM_CARDS_REGISTER.csv","00_input/maestro-migration/01_original/01-master-index/02-taxonomies/ECOSYSTEM_CARDS_REGISTER.csv","REGISTRY","GOV-IDX-030-001","01_master-index/taxonomies/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
"MQ-REC-007","MC-REC-007","01-master-index/02-taxonomies/FOLDER_IDS.md","00_input/maestro-migration/01_original/01-master-index/02-taxonomies/FOLDER_IDS.md","D06","D06-DOC-RMI-001","02_areas/D06__conhecimento-e-busca-corporativa/00_documentos/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
"MQ-REC-008","MC-REC-008","01-master-index/02-taxonomies/MAPA_DOC_ARQUIVO.csv","00_input/maestro-migration/01_original/01-master-index/02-taxonomies/MAPA_DOC_ARQUIVO.csv","D06","D06-DOC-RMI-001","02_areas/D06__conhecimento-e-busca-corporativa/00_documentos/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
"MQ-REC-009","MC-REC-009","01-master-index/02-taxonomies/MOC_IDS.csv","00_input/maestro-migration/01_original/01-master-index/02-taxonomies/MOC_IDS.csv","D06","D06-DOC-RMI-001","02_areas/D06__conhecimento-e-busca-corporativa/00_documentos/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
"MQ-REC-010","MC-REC-010","01-master-index/02-taxonomies/ROTEAMENTO_DOCUMENTAL_MECE.csv","00_input/maestro-migration/01_original/01-master-index/02-taxonomies/ROTEAMENTO_DOCUMENTAL_MECE.csv","REGISTRY","GOV-IDX-030-001","01_master-index/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
"MQ-REC-011","MC-REC-011","01-master-index/02-taxonomies/SAAS_ENTRYPOINT_DOMAIN_MAP.csv","00_input/maestro-migration/01_original/01-master-index/02-taxonomies/SAAS_ENTRYPOINT_DOMAIN_MAP.csv","BLUEPRINTS","GAP","BLUEPRINTS/95-target-mapping/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
"MQ-REC-012","MC-REC-012","01-master-index/03-relations/RELATIONS.md","00_input/maestro-migration/01_original/01-master-index/03-relations/RELATIONS.md","REGISTRY","GOV-IDX-030-001","01_master-index/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
"MQ-REC-013","MC-REC-013","01-master-index/04-reports/2026-09-07-master-index-repos-codigo.md","00_input/maestro-migration/01_original/01-master-index/04-reports/2026-09-07-master-index-repos-codigo.md","REGISTRY","GOV-IDX-030-001","01_master-index/reports/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
"MQ-REC-014","MC-REC-014","01-master-index/04-reports/INDICE_TEMATICO_GRANULAR_V1.csv","00_input/maestro-migration/01_original/01-master-index/04-reports/INDICE_TEMATICO_GRANULAR_V1.csv","REGISTRY","GOV-IDX-030-001","01_master-index/reports/","QUEUED_FOR_RECONCILIATION","Confirmar inexistência de duplicata canônica, preservar IDs e reconciliar links relativos.","Revisar semanticamente e decidir COPY/MERGE/REFERENCE em PR separado."
