master_id,area_code,area,subarea,artifact_type,artifact_group,artifact_order,origin,title,content,evidence_level,evidence_basis,source_ids,source_urls,public_claim,caveat,status,audience_priority,funnel_stage,campaign_pillar,claim_class,claim_risk,go_live_rule,recommended_usage,naming_normalized
MI-001,BRAND,Marca e Posicionamento,Tese central,IDEIA,Ideias Originais,1,USUÁRIO,Aplicativo desenhado para não ser usado,"O Executor App é um aplicativo desenhado para você não usar: o valor está em entrar, entender o que precisa ser feito e sair para executar.",POSICIONAMENTO,,,,Pode ser usado como tese central de marca.,Evitar interpretação de que o produto não gera valor; contextualizar como redução de tempo dentro da ferramenta.,ATIVO,P2 — Knowledge worker sobrecarregado,TOFU — Awareness,P1 — Menos trabalho antes do trabalho,C0 — Posicionamento/linguagem,BAIXO,PERMITIDO,Brand/produto/marketing,"O Executar App é um aplicativo desenhado para você não usar: o valor está em entrar, entender o que precisa ser feito e sair para executar."
MI-002,BRAND,Marca e Posicionamento,Categoria,IDEIA,Ideias Originais,2,USUÁRIO,Aplicativo de execução,"A categoria proposta não é apenas produtividade: é execução. O objetivo é reduzir o tempo gasto configurando, organizando e administrando o sistema.",POSICIONAMENTO,,,,Pode ser comunicado publicamente como definição de categoria própria.,"Diferenciação de categoria é uma afirmação de marca, não uma conclusão científica.",ATIVO,P2 — Knowledge worker sobrecarregado,TOFU — Awareness,P4 — IA com método,C0 — Posicionamento/linguagem,BAIXO,PERMITIDO,Brand/produto/marketing,"A categoria proposta não é apenas produtividade: é execução. O objetivo é reduzir o tempo gasto configurando, organizando e administrando o sistema."
MI-003,BRAND,Marca e Posicionamento,Promessa,IDEIA,Ideias Originais,3,USUÁRIO,"Menos sistema, mais execução","Quanto mais tempo o usuário passa configurando o sistema de produtividade, menos tempo resta para executar o trabalho.",EVIDÊNCIA INDIRETA,"Coerente com redução de carga extrínseca, choice overload e adequação à tarefa.",S02|S14|S15,https://www.iso.org/standard/75258.html | https://pmc.ncbi.nlm.nih.gov/articles/PMC6099112/ | https://www.sciencedirect.com/science/article/pii/S1057740814000916,Pode ser usado como princípio de design orientado por evidências.,Não afirmar relação causal universal entre qualquer configuração e pior desempenho.,ATIVO,P2 — Knowledge worker sobrecarregado,TOFU — Awareness,P1 — Menos trabalho antes do trabalho,C2 — Princípio orientado por evidência,MÉDIO — formulação defensável,PERMITIDO,Brand/produto/marketing,"Quanto mais tempo o usuário passa configurando o sistema de produtividade, menos tempo resta para executar o trabalho."
MI-004,BRAND,Marca e Posicionamento,Naming,DECISÃO,Ideias Originais,4,SÍNTESE,Padronizar nome do produto,Nesta conversa foram usados Executar App e Executor App. O master index adota Executor App como nome de trabalho.,GOVERNANÇA,,,,Padronizar antes de publicação.,Validar naming oficial e registro de marca.,ATIVO,P2 — Knowledge worker sobrecarregado,TOFU — Awareness,P1 — Menos trabalho antes do trabalho,GOV — Governança/fonte,BAIXO — uso interno/metodológico,SUPORTE — não é copy principal,Brand/produto/marketing,Nesta conversa foram usados Executar App e Executar App. O master index adota Executar App como nome de trabalho.
MI-005,CAMPAIGN,Campanha,Conceito visual,IDEIA,Split View,1,USUÁRIO,Split view produtividade versus execução,Campanha em tela dividida comparando uma pessoa organizando o sistema de produtividade com outra já executando usando o Executor App.,COPY/CRIAÇÃO,,,,Adequado para campanha de contraste.,Evitar depreciar pessoas que precisam de planejamento detalhado.,ATIVO,P2 — Knowledge worker sobrecarregado,TOFU — Awareness,P1 — Menos trabalho antes do trabalho,C0 — Posicionamento/linguagem,BAIXO,PERMITIDO,Brand/produto/marketing,Campanha em tela dividida comparando uma pessoa organizando o sistema de produtividade com outra já executando usando o Executar App.
MI-006,CAMPAIGN,Campanha,Direção de arte,IDEIA,Split View,2,USUÁRIO,Preto e branco versus cor,"O lado dos aplicativos convencionais aparece em preto e branco; o lado do Executor App aparece em cor, movimento e ação.",COPY/CRIAÇÃO,,,,Pode ser usado como código visual recorrente.,"Conceito criativo, sem claim científico.",ATIVO,P2 — Knowledge worker sobrecarregado,TOFU — Awareness,P2 — Próxima ação clara,C0 — Posicionamento/linguagem,BAIXO,PERMITIDO,Brand/produto/marketing,"O lado dos aplicativos convencionais aparece em preto e branco; o lado do Executar App aparece em cor, movimento e ação."
MI-007,CAMPAIGN,Campanha,Elemento visual,IDEIA,Split View,3,USUÁRIO,Timer como prova visual,Relógio ou timer evidencia quanto tempo é consumido organizando versus executando.,COPY/CRIAÇÃO,,,,Usar como metáfora de custo de tempo.,Não transformar em dado quantitativo sem medição real.,ATIVO,P2 — Knowledge worker sobrecarregado,TOFU — Awareness,P4 — IA com método,C0 — Posicionamento/linguagem,BAIXO,PERMITIDO,Brand/produto/marketing,Relógio ou timer evidencia quanto tempo é consumido organizando versus executando.
MI-008,METHOD,Metodologia,Princípio de adaptação,IDEIA,Fundamentos,1,USUÁRIO,Sistema adaptado ao usuário,"O sistema deve ser compatível com as capacidades, limitações, contexto, demandas e necessidades do usuário.",EVIDÊNCIA DIRETA,"ISO 9241-210 trata de design centrado no humano; ISO 9241-110 inclui adequação à tarefa, expectativas e princípios de interação.",S01|S02,https://www.iso.org/standard/77520.html | https://www.iso.org/standard/75258.html,Pode ser comunicado como fundamento de ergonomia e human-centred design.,Não atribuir esta formulação diretamente ao PMBOK.,ATIVO,P2 — Knowledge worker sobrecarregado,MOFU — Consideração,P5 — Transparência e confiança,C2 — Princípio orientado por evidência,BAIXO,PERMITIDO,Brand/produto/marketing,"O sistema deve ser compatível com as capacidades, limitações, contexto, demandas e necessidades do usuário."
MI-009,METHOD,Metodologia,Origem do produto,IDEIA,Fundamentos,2,USUÁRIO,Origem do Executor App,O Executor App nasce da constatação de que ferramentas existentes frequentemente exigem que o usuário construa e mantenha o próprio sistema de produtividade.,POSICIONAMENTO,,,,Pode ser usado como narrativa de origem.,“Ferramentas existentes” é generalização; preferir “muitas ferramentas”.,ATIVO,P2 — Knowledge worker sobrecarregado,MOFU — Consideração,P5 — Transparência e confiança,C0 — Posicionamento/linguagem,BAIXO,PERMITIDO,Brand/produto/marketing,O Executar App nasce da constatação de que ferramentas existentes frequentemente exigem que o usuário construa e mantenha o próprio sistema de produtividade.
MI-010,METHOD,Metodologia,Público,IDEIA,Fundamentos,3,USUÁRIO,Execução e multiprojetos para neurodivergentes,"Aplicativo de execução, gestão de projetos e multiprojetos desenhado considerando demandas cognitivas e operacionais de usuários neurodivergentes.",EVIDÊNCIA INDIRETA,Há evidência de heterogeneidade em funções executivas em ADHD e autismo; design deve responder a necessidades individuais e contexto.,S09|S10|S11|S19,https://pubmed.ncbi.nlm.nih.gov/15950006/ | https://pubmed.ncbi.nlm.nih.gov/23688211/ | https://pubmed.ncbi.nlm.nih.gov/38104788/ | https://pubmed.ncbi.nlm.nih.gov/16116936/,Pode comunicar “desenhado considerando demandas cognitivas associadas a neurodivergências”.,Evitar afirmar que todo neurodivergente possui os mesmos déficits ou necessidades.,ATIVO,P1 — Profissional neurodivergente multiprojeto,MOFU — Consideração,P5 — Transparência e confiança,C2 — Princípio orientado por evidência,MÉDIO/ALTO — linguagem não clínica,PERMITIDO COM CAVEAT,Brand/produto/marketing,"Aplicativo de execução, gestão de projetos e multiprojetos desenhado considerando demandas cognitivas e operacionais de usuários neurodivergentes."
