"cena_id","filme","bloco","tempo","mensagem","pilar","etapa_funil","ui_mostrada","origem_ui","status_ui","componente","classe_claim","caveat"
"A-B1","Filme A — Split View 30s","1","00:00-00:04","Hook visual: configurar versus iniciar","Menos fricção","Topo","Formulário de configuração generico; tela Proxima acao","Conceito de campanha","CONCEITO","split-view, timer, action-card","C0","Lado Administracao e generico e sem marca; nao representa concorrente"
"A-B2","Filme A — Split View 30s","2","00:04-00:09","Organizar tambem custa atencao","Menos fricção","Topo","Quadro de colunas generico; estado concluido","Conceito de campanha","CONCEITO","split-view, super, status-badge","C0",""
"A-B3","Filme A — Split View 30s","3","00:09-00:15","Menos sistema","Contexto","Topo","Continuidade entre acoes com contexto preservado","Conceito de produto","CONCEITO","action-card, context-strip","C0",""
"A-B4","Filme A — Split View 30s","4","00:15-00:21","O Executar estrutura o trabalho para voce encontrar o que fazer agora","Clareza","Meio","Decomposicao da hierarquia do trabalho","Conceito de produto","CONCEITO","hierarchy-cascade, action-card","C1","Exige produto demonstravel antes de publicar"
"A-B5","Filme A — Split View 30s","5","00:21-00:26","IA orientada por metodo","Método","Meio","Painel de explicabilidade da priorizacao","Conceito de produto","CONCEITO","explainability-panel","C1","C3 se sugerir eficacia; nao afirmar resultado superior comprovado"
"A-B6","Filme A — Split View 30s","6","00:26-00:30","O aplicativo desenhado para voce sair dele","Menos fricção","Fundo","Nenhuma","Packshot de campanha","N/A","packshot, end-card","C0",""
"B-B1","Filme B — Manifesto 60s","1","00:00-00:07","Antes de comecar existe outro trabalho","Menos fricção","Topo","Superficies de administracao genericas","Conceito de campanha","CONCEITO","montage","C0","Sem produto identificavel em quadro"
"B-B2","Filme B — Manifesto 60s","2","00:07-00:14","Volume, dependencia e contexto","Clareza","Topo","Projeto complexo em extensao","Conceito de campanha","CONCEITO","montage","C0",""
"B-B3","Filme B — Manifesto 60s","3","00:14-00:22","Projeto, Entregavel, Workflow, Tarefa, Acao","Clareza","Topo","Hierarquia do trabalho","Conceito de produto","CONCEITO","hierarchy-cascade, super","C1",""
"B-B4","Filme B — Manifesto 60s","4","00:22-00:30","Criterios explicitos que voce pode ler e contestar","Método","Meio","Painel de explicabilidade","Conceito de produto","CONCEITO","explainability-panel","C1","Nao afirmar superioridade de resultado"
